Number	Surname, Initials	Week	Job	hTotal	hNormal
616365	IjJzRlHz, R.	201550	6	37.020000	35.020000
438812	iTYHJAMs, S.	201549	4	43.590000	43.590000
438812	iTYHJAMs, S.	201550	4	28.110000	17.890000
438812	iTYHJAMs, S.	201551	4	45.440000	41.440000
438812	iTYHJAMs, S.	201552	4	24.860000	12.950000
438812	iTYHJAMs, S.	201553	4	37.030000	36.030000
540345	ambzVFBB, D.M.	201549	8	46.900000	22.500000
540345	ambzVFBB, D.M.	201550	8	46.920000	22.640000
399426	OXPzTocE, M.	201549	6	47.270000	22.530000
399426	OXPzTocE, M.	201550	6	45.570000	22.740000
399426	OXPzTocE, M.	201551	6	38.490000	18.600000
399426	OXPzTocE, M.	201552	6	40.090000	18.600000
399426	OXPzTocE, M.	201553	6	29.430000	17.950000
146978	VxAqNsTn, K.K.	201549	5	51.570000	47.570000
146978	VxAqNsTn, K.K.	201550	5	45.240000	40.240000
146978	VxAqNsTn, K.K.	201551	5	43.400000	40.400000
146978	VxAqNsTn, K.K.	201552	5	25.130000	24.130000
146978	VxAqNsTn, K.K.	201553	5	31.760000	28.760000
292906	FScgqtHf, A.A.	201549	4	38.090000	22.480000
292906	FScgqtHf, A.A.	201550	4	46.690000	44.690000
292906	FScgqtHf, A.A.	201551	4	32.290000	21.370000
292906	FScgqtHf, A.A.	201552	4	16.910000	11.530000
292906	FScgqtHf, A.A.	201553	4	39.190000	38.190000
109135	uFcBXtVx, K.T.	201549	4	47.500000	32.870000
109135	uFcBXtVx, K.T.	201550	4	44.820000	42.820000
109135	uFcBXtVx, K.T.	201551	4	32.360000	21.840000
109135	uFcBXtVx, K.T.	201552	4	36.630000	29.950000
109135	uFcBXtVx, K.T.	201553	4	30.550000	23.670000
344656	NIrdJvvb, M.B.	201549	4	37.080000	22.300000
344656	NIrdJvvb, M.B.	201550	4	43.870000	41.870000
344656	NIrdJvvb, M.B.	201551	4	32.000000	21.600000
344656	NIrdJvvb, M.B.	201552	4	23.180000	22.180000
344656	NIrdJvvb, M.B.	201553	4	29.380000	23.210000
913503	GGvVvSjM, B.M.	201549	4	36.250000	27.620000
913503	GGvVvSjM, B.M.	201550	4	35.220000	21.790000
913503	GGvVvSjM, B.M.	201551	4	45.540000	41.440000
913503	GGvVvSjM, B.M.	201552	4	20.140000	13.080000
913503	GGvVvSjM, B.M.	201553	4	38.960000	37.960000
423376	JZBpotbg, R.T.	201549	2	47.210000	22.610000
024491	BMrKJEIw, L.T.	201549	10	47.100000	23.420000
174668	qMYZjVNh, R.	201549	2	38.230000	23.120000
174668	qMYZjVNh, R.	201550	2	44.130000	42.130000
